WT_DigiSWAN-VST_T1_Cpt1_TLRatio1,WT_DigiSWAN-VST_T1_Cpt1_ILRatio1,WT_DigiSWAN-VST_T1_Cpt2_TLRatio1,WT_DigiSWAN-VST_T1_Cpt2_ILRatio1,WT_DigiSWAN-VST_T2_Cpt1_TLRatio1,WT_DigiSWAN-VST_T2_Cpt1_ILRatio1,WT_DigiSWAN-VST_T2_Cpt2_TLRatio1,WT_DigiSWAN-VST_T2_Cpt2_ILRatio1,WT_DigiSWAN-VST_T3_Cpt1_TLRatio1,WT_DigiSWAN-VST_T3_Cpt1_ILRatio1,WT_DigiSWAN-VST_T3_Cpt2_TLRatio1,WT_DigiSWAN-VST_T3_Cpt2_ILRatio1,WT_DigiSWAN-VST_T4_Cpt1_TLRatio1,WT_DigiSWAN-VST_T4_Cpt1_ILRatio1,WT_DigiSWAN-VST_T4_Cpt2_TLRatio1,WT_DigiSWAN-VST_T4_Cpt2_ILRatio1,WT_F-M-M_PMSs_PMS_BVG_01,WT_F-M-M_PMSs_PMS_BVG_02,WT_F-M-M_PMSs_PMS_BVG_03,WT_F-M-M_PMSs_PMS_BVG_04,WT_F-M-M_PMSs_PMS_BVO_01,WT_F-M-M_PMSs_PMS_BVO_02,WT_F-M-M_PMSs_PMS_BVO_03,WT_F-M-M_PMSs_PMS_BVO_04,WT_F-M-M_PMSs_PMS_BVO_05,WT_F-M-M_PMSs_PMS_BVO_06,WT_F-M-M_PMSs_PMS_OP_011,WT_F-M-M_PMSs_PMS_BVW_01,WT_F-M-M_PMSs_PMS_BVW_02,WT_F-M-M_PMSs_PMS_BVW_03,WT_F-M-M_PMSs_PMS_BVW_04,WT_F-M-M_PMSs_PMS_BVW_05,WT_F-M-M_PMSs_PMS_BVW_06,WT_TMS_T1_BV_011,WT_TMS_T1_BTV_021,WT_TMS_T1_BTV_031,WT_TMS_T1_BV_041,WT_TMS_T1_BTV_051,WT_TMS_T1_BTV_061,WT_TMS_T1_BV_IO1,WT_TMS_T1_BV_IW1,WT_TMS_T1_BV_IE1,WT_TMS_T2_BV_011,WT_TMS_T2_BTV_021,WT_TMS_T2_BTV_031,WT_TMS_T2_BV_041,WT_TMS_T2_BTV_051,WT_TMS_T2_BTV_061,WT_TMS_T2_BV_IO1,WT_TMS_T2_BV_IW1,WT_TMS_T2_BV_IE1,WT_TMS_T3_BV_011,WT_TMS_T3_BTV_021,WT_TMS_T3_BTV_031,WT_TMS_T3_BV_041,WT_TMS_T3_BTV_051,WT_TMS_T3_BTV_061,WT_TMS_T3_BV_IO1,WT_TMS_T3_BV_IW1,WT_TMS_T3_BV_IE1,WT_TMS_T4_BV_011,WT_TMS_T4_BTV_021,WT_TMS_T4_BTV_031,WT_TMS_T4_BV_041,WT_TMS_T4_BTV_051,WT_TMS_T4_BTV_061,WT_TMS_T4_BV_IO1,WT_TMS_T4_BV_IW1,WT_TMS_T4_BV_IE1,WT_WH_Whp,WT_WH_Wht,WT_WH_Csgp,WT_SEP_GasPA,WT_SEP_GasDPA,WT_Conventional_GasT1,WT_Conventional_OilT1,WT_OilQA,WT_OilVA,WT_WaterQA,WT_WaterVA,WT_GasQA,WT_GasVA,WT_WH_Whttest1,WT_WH_Whttest2,WT_WH_Whptest1,WT_WH_Whptest2
%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,psia,degC,psia,psia,psia,degC,degC,sm3/d,sm3,sm3/d,sm3,sm3/d,sm3,degC,degC,psia,psia
30,10,30,10,30,10,30,10,30,10,30,10,30,10,30,10,3,3,8,2,2,5,#N/A,4,3,3,2,2,2,2,3,3,3,2,5,2,8,2,4,6,5,2,2,7,3,2,8,2,2,1,2,3,2,2,2,8,3,2,4,2,2,3,6,3,3,3,2,2,3,13.15889835,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,362.8,0.3,112373.5,78,100,100,100,100
30,10,30,10,30,10,30,10,30,10,30,10,30,10,30,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.306514345,#N/A,#N/A,0,0,515.4,0.6,164581.4,192.3,99.9979447,#N/A,100.641137,#N/A
30,10,30,10,30,10,30,10,30,10,30,10,30,10,30,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34.51452467,0,0,502.9,1,134877.3,286,99.99177887,#N/A,101.2822476,#N/A
30,10,30,10,30,10,30,10,30,10,30,10,30,10,30,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.54394531,#N/A,#N/A,#N/A,0,0,519.3,1.3,195490.6,421.8,99.98150277,#N/A,101.9233055,#N/A
30,10,30,10,30,10,30,10,30,10,30,10,30,10,30,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34.53600989,#N/A,0,0,452.6,1.6,168916.4,539.1,99.96711682,#N/A,102.5642843,#N/A
30,10,30,10,30,10,30,10,30,10,30,10,30,10,30,10,3,2,3,3,6,7,2,2,2,3,3,#N/A,3,4,2,3,2,2,9,8,1,2,9,4,3,#N/A,7,2,2,2,1,2,3,2,6,3,2,3,#N/A,2,1,3,3,3,2,9,5,3,2,2,8,4,3,#N/A,25.36260817,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,178.9,1.8,79620.4,594.3,99.94862162,#N/A,103.2051578,#N/A
30,10,30,10,30,10,30,10,30,10,30,10,30,10,30,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,204.4,1.9,22582.7,610,99.92601792,99.92601792,103.8458994,103.8458994
30,10,30,10,30,10,30,10,30,10,30,10,30,10,30,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,994.2,2.6,2472.4,611.7,99.89930665,#N/A,104.486483,#N/A
30,10,30,10,30,10,30,10,30,10,30,10,30,10,30,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,14.81708336,#N/A,#N/A,#N/A,#N/A,0,0,1166.7,3.4,1137.1,612.5,99.86848892,#N/A,105.1268822,#N/A
30,10,30,10,30,10,30,10,30,10,30,10,30,10,30,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.307818382,#N/A,#N/A,0,0,1154.6,4.2,1011.4,613.2,99.83356598,#N/A,105.7670706,#N/A
50,30,50,30,50,30,50,30,50,30,50,30,50,30,50,30,2,3,2,8,5,3,1,2,2,2,3,#N/A,4,9,2,3,2,9,#N/A,2,3,3,3,2,2,8,3,3,3,1,1,7,#N/A,3,3,1,3,7,3,9,3,3,3,2,3,3,7,#N/A,3,3,7,9,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34.53887939,0,0,1146.3,5,938.9,613.9,99.79453928,#N/A,106.407022,#N/A
50,30,50,30,50,30,50,30,50,30,50,30,50,30,50,30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,34.57308875,#N/A,0,0,1145.1,5.8,830.5,614.5,99.75141041,#N/A,107.04671,#N/A
50,30,50,30,50,30,50,30,50,30,50,30,50,30,50,30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.39874183,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,1144.8,6.6,859.7,615.1,99.70418115,99.70418115,107.6861083,107.6861083
50,30,50,30,50,30,50,30,50,30,50,30,50,30,50,30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,1148.5,7.4,852.8,615.7,99.65285344,#N/A,108.3251907,#N/A
